,city,price
576,boise,5400
577,boise,1
578,boise,2500
579,boise,40
580,boise,33869
581,boise,450
582,boise,15869
583,boise,1200
584,boise,6500
585,boise,200
586,boise,9995
587,boise,750
588,boise,5000
589,boise,2370
590,boise,1800
591,boise,5950
592,boise,24995
593,boise,16995
594,boise,10000
595,boise,2150
596,boise,89233
597,boise,89995
598,boise,19995
599,boise,27865
600,boise,117865
601,boise,51869
602,boise,1000
603,boise,1100
604,boise,6995
605,boise,69000
606,boise,39995
607,boise,8500
608,boise,650
609,boise,36995
610,boise,22988
611,boise,26988
612,boise,13988
613,boise,10988
614,boise,19988
615,boise,11988
616,boise,12988
617,phoenix,2
618,phoenix,2000
619,phoenix,8950
620,phoenix,12995
621,phoenix,37995
622,phoenix,12995
623,phoenix,12995
624,phoenix,36980
625,phoenix,12995
626,phoenix,28900
627,phoenix,13900
628,phoenix,8000
629,phoenix,10000
630,phoenix,24137
631,phoenix,36980
632,phoenix,22500
633,phoenix,15000
634,phoenix,4800
635,phoenix,36980
636,phoenix,73164
637,phoenix,2500
638,phoenix,33707
639,phoenix,36980
640,phoenix,17995
641,phoenix,12000
642,phoenix,2500
643,phoenix,5850
644,phoenix,11500
645,phoenix,5900
646,phoenix,350
647,phoenix,35250
648,phoenix,35750
649,phoenix,8800
650,phoenix,8000
651,phoenix,4500
652,phoenix,16900
653,phoenix,14900
654,phoenix,19900
655,phoenix,525
656,phoenix,30900
657,phoenix,32946
658,phoenix,7800
659,phoenix,11990
660,phoenix,18900
661,phoenix,16900
662,phoenix,16900
663,phoenix,225
664,phoenix,17900
665,phoenix,61900
666,phoenix,300
667,phoenix,225
668,phoenix,72487
669,phoenix,450
670,phoenix,2800
671,phoenix,2250
672,phoenix,6700
673,phoenix,12990
674,phoenix,8350
675,phoenix,159000
676,phoenix,72999
677,phoenix,25000
678,phoenix,550
679,phoenix,79950
680,phoenix,14995
681,phoenix,700
682,phoenix,21
683,phoenix,29995
684,phoenix,17900
685,phoenix,10995
686,phoenix,8350
687,phoenix,2000
688,phoenix,30
689,phoenix,50
690,phoenix,8350
691,phoenix,51000
692,phoenix,14916
693,phoenix,76884
694,phoenix,60
695,phoenix,19995
696,phoenix,34999
697,phoenix,71961
698,phoenix,14995
699,phoenix,31900
700,phoenix,29000
701,phoenix,19995
702,phoenix,8750
703,phoenix,150
704,phoenix,18995
705,phoenix,150
706,phoenix,18995
707,baltimore,18000
708,baltimore,1500
709,baltimore,3500
710,baltimore,8500
711,baltimore,2000
712,baltimore,2000
713,baltimore,3500
714,baltimore,8000
715,baltimore,9950
716,baltimore,29000
717,baltimore,125
718,baltimore,3700
719,baltimore,3700
720,baltimore,11400
721,baltimore,3600
722,baltimore,30000
723,baltimore,4000
724,baltimore,10
725,baltimore,2000
726,baltimore,1500
727,baltimore,1850
728,baltimore,4575
729,baltimore,6589
730,baltimore,90
731,baltimore,6800
732,baltimore,399
733,baltimore,1500
734,baltimore,13500
735,baltimore,109995
736,baltimore,20
737,baltimore,8995
738,baltimore,13995
739,baltimore,10995
740,baltimore,15995
741,baltimore,9995
742,baltimore,27950
743,baltimore,15744
744,baltimore,11995
745,baltimore,13995
746,baltimore,69800
747,baltimore,21800
748,baltimore,28800
749,baltimore,9800
750,baltimore,10000
751,baltimore,2500
752,baltimore,2300
753,baltimore,14900
754,baltimore,90
755,baltimore,350
756,baltimore,8564
757,baltimore,12500
758,baltimore,3550
759,baltimore,5985
760,baltimore,6195
761,baltimore,5995
762,baltimore,18500
763,baltimore,1300
764,baltimore,11877
765,baltimore,2500
766,baltimore,12250
767,baltimore,2000
768,baltimore,2200
769,baltimore,3250
770,baltimore,7300
771,baltimore,26900
772,baltimore,8800
773,baltimore,22600
774,baltimore,10000
775,baltimore,1500
776,baltimore,18500
777,baltimore,36000
778,baltimore,3500
779,baltimore,4000
780,baltimore,2800
781,baltimore,60
782,baltimore,2000
783,baltimore,39900
784,baltimore,28500
785,baltimore,3000
786,baltimore,3400
787,baltimore,8100
788,baltimore,28000
789,baltimore,50
790,baltimore,16950
791,baltimore,14900
792,baltimore,3600
793,baltimore,3600
794,baltimore,2500
795,baltimore,2500
796,baltimore,3200
797,washingtondc,99990
798,washingtondc,60
799,washingtondc,35
800,washingtondc,14500
801,washingtondc,57000
802,washingtondc,12000
803,washingtondc,119500
